"Drug","Gene Name","Dose (uM)","Value"
"Abemaciclib","STK16",3,-1.2553190787879807
"Abemaciclib","STK16",0.3,-1.096001612355665
"Abemaciclib","STK16",0.03,-0.5636933874339501
"Abemaciclib","STK16",0.003,-0.15784580731850717
"Abemaciclib","TAOK1",1,-13.019319095130292
"Abemaciclib","TAOK1",0.1,-0.3013834056756319
"Abemaciclib","TAOK1",0.01,-0.1792111852973568
"Abemaciclib","TAOK1",30,-13.019319095130292
"Abemaciclib","TAOK1",3,-1.0216742377784003
"Abemaciclib","TAOK1",0.3,-0.7935106819298366
"Abemaciclib","TAOK1",0.03,0.2526028976294179
"Abemaciclib","TAOK1",0.003,0.7664685110232744
"Abemaciclib","TAOK3",1,-0.4354149190996029
"Abemaciclib","TAOK3",0.1,0.14411831314812815
"Abemaciclib","TAOK3",0.01,-0.2122691080323724
"Abemaciclib","TAOK3",30,-2.4031710029880595
"Abemaciclib","TAOK3",3,-1.084915857394887
"Abemaciclib","TAOK3",0.3,-0.28455984908108894
"Abemaciclib","TAOK3",0.03,-0.37048140125140383
"Abemaciclib","TAOK3",0.003,-0.1330597665515151
"AC-480","EGFR",1,-13.019319095130292
"AC-480","EGFR",0.1,-13.019319095130292
"AC-480","EGFR",0.01,-13.019319095130292
"AC-480","EGFR",30,-13.019319095130292
"AC-480","EGFR",3,-13.019319095130292
"AC-480","EGFR",0.3,-13.019319095130292
"AC-480","EGFR",0.03,-13.019319095130292
"AC-480","EGFR",0.003,-0.7311678904720151
"AC-480","MAP2K5",1,-2.0941059882134825
"AC-480","MAP2K5",0.1,-0.05058564183084917
"AC-480","MAP2K5",0.01,-3.0087953116323267
"AC-480","MAP2K5",30,-3.8613853971100767
"AC-480","MAP2K5",3,-1.147094293061428
"AC-480","MAP2K5",0.3,-1.6245792049817287
"AC-480","MAP2K5",0.03,-0.20573063601708366
"AC-480","MAP2K5",0.003,-0.07249552383088338
"ACTB-1003","BCR",1,-0.3172834898540759
"ACTB-1003","BCR",0.1,-0.012356170761029173
"ACTB-1003","BCR",0.01,-0.2762475540749339
"ACTB-1003","BCR",30,-0.8909971672357948
"ACTB-1003","BCR",3,-0.23022184076901592
"ACTB-1003","BCR",0.3,-0.0058790683029251506
"ACTB-1003","BCR",0.03,0.26321682918118655
"ACTB-1003","BCR",0.003,0.1957012715059285
"ACTB-1003","DDR1",1,-1.419797196611835
"ACTB-1003","DDR1",0.1,-0.028714918690839735
"ACTB-1003","DDR1",0.01,0.0688095967538461
"ACTB-1003","DDR1",30,-13.019319095130292
"ACTB-1003","DDR1",3,-13.019319095130292
"ACTB-1003","DDR1",0.3,-0.6489909122796734
"ACTB-1003","DDR1",0.03,-0.01052978741074214
"ACTB-1003","DDR1",0.003,0.29211801497242423
"ACTB-1003","DDR2",1,-0.08851694426307515
"ACTB-1003","DDR2",0.1,0.14533936316404136
"ACTB-1003","DDR2",0.01,0.14447624914433888
"ACTB-1003","DDR2",30,-13.019319095130292
"ACTB-1003","DDR2",3,-0.48547136235494875
"ACTB-1003","DDR2",0.3,0.1481265697623829
"ACTB-1003","DDR2",0.03,0.16280669110173154
"ACTB-1003","DDR2",0.003,0.06478437601540997
"ACTB-1003","FGFR1",1,-13.019319095130292
"ACTB-1003","FGFR1",0.1,0.16686584505517865
"ACTB-1003","FGFR1",0.01,-0.0818287595267677
"ACTB-1003","FGFR1",30,-13.019319095130292
"ACTB-1003","FGFR1",3,-13.019319095130292
"ACTB-1003","FGFR1",0.3,-13.019319095130292
"ACTB-1003","FGFR1",0.03,-13.019319095130292
"ACTB-1003","FGFR1",0.003,0.06551438144578102
"ACTB-1003","FLT3",1,-1.4758153792640276
"ACTB-1003","FLT3",0.1,-0.25547286063863633
"ACTB-1003","FLT3",0.01,-0.48549818324909144
"ACTB-1003","FLT3",30,-13.019319095130292
"ACTB-1003","FLT3",3,-1.8809471517366596
"ACTB-1003","FLT3",0.3,-0.8847135307602795
"ACTB-1003","FLT3",0.03,-0.2489926466953317
"ACTB-1003","FLT3",0.003,-0.3369457971417889
"ACTB-1003","FRK",1,-0.24715224068356337
"ACTB-1003","FRK",0.1,0.08710571277331086
"ACTB-1003","FRK",0.01,-0.0468477255241434
"ACTB-1003","FRK",30,-2.088258554166463
"ACTB-1003","FRK",3,-0.5126589692330696
"ACTB-1003","FRK",0.3,-0.08950722316270213
"ACTB-1003","FRK",0.03,-0.04347509179890699
"ACTB-1003","FRK",0.003,-0.18728979632423529
"ACTB-1003","MAP3K11",1,-0.45162870126293675
"ACTB-1003","MAP3K11",0.1,-0.293492035270089
"ACTB-1003","MAP3K11",0.01,-0.07780606444058871
"ACTB-1003","MAP3K11",30,-13.019319095130292
"ACTB-1003","MAP3K11",3,-0.7424706527266057
"ACTB-1003","MAP3K11",0.3,-0.10613444643638544
"ACTB-1003","MAP3K11",0.03,-0.1772299468296284
"ACTB-1003","MAP3K11",0.003,0.03916143058345826
"ACTB-1003","MAP4K2",1,-0.20960411674596885
"ACTB-1003","MAP4K2",0.1,-0.12062078172317647
"ACTB-1003","MAP4K2",0.01,0.09400330889769011
"ACTB-1003","MAP4K2",30,-2.3303118051643676
"ACTB-1003","MAP4K2",3,-0.43314853392003844
"ACTB-1003","MAP4K2",0.3,0.14153928753941547
"ACTB-1003","MAP4K2",0.03,0.1344655295120645
"ACTB-1003","MAP4K2",0.003,0.15779643106833
"ACTB-1003","MAPK9",1,-0.41384002571637585
"ACTB-1003","MAPK9",0.1,0.08729015530552774
"ACTB-1003","MAPK9",0.01,-0.32782481728195445
"ACTB-1003","MAPK9",30,-3.107139339620208
"ACTB-1003","MAPK9",3,-1.2860813811562528
"ACTB-1003","MAPK9",0.3,-0.1945157515379203
"ACTB-1003","MAPK9",0.03,0.23611860279194144
"ACTB-1003","MAPK9",0.003,-0.6541239740902975
"ACTB-1003","PRKCD",1,-0.15180540531252457
"ACTB-1003","PRKCD",0.1,-0.06476252218208434
"ACTB-1003","PRKCD",0.01,-0.0251950382298546
"ACTB-1003","PRKCD",30,-0.8281724596549195
"ACTB-1003","PRKCD",3,-0.31241220349169774
"ACTB-1003","PRKCD",0.3,-0.06022054778097676
"ACTB-1003","PRKCD",0.03,0.150166594469958
"ACTB-1003","PRKCD",0.003,-0.05678915276383061
"ACTB-1003","RET",1,-5.988266566171785
"ACTB-1003","RET",0.1,-0.2562152402513664
"ACTB-1003","RET",0.01,-0.8133051984736364
"ACTB-1003","RET",30,-13.019319095130292
"ACTB-1003","RET",3,-13.019319095130292
"ACTB-1003","RET",0.3,-1.90844080455115
"ACTB-1003","RET",0.03,-0.10391214802322483
"ACTB-1003","RET",0.003,0.3640869017335034
"ACTB-1003","RPS6KA1",1,-0.19943829927453552
"ACTB-1003","RPS6KA1",0.1,0.14346553822001837
"ACTB-1003","RPS6KA1",0.01,0.07923412317631504
"ACTB-1003","RPS6KA1",30,-1.1943150690561108
"ACTB-1003","RPS6KA1",3,-0.2596484914063439
"ACTB-1003","RPS6KA1",0.3,-0.13586703763817295
"ACTB-1003","RPS6KA1",0.03,0.05745558802385143
"ACTB-1003","RPS6KA1",0.003,0.2998271668179668
"ACTB-1003","RPS6KA3",1,-0.10038261552967613
"ACTB-1003","RPS6KA3",0.1,0.08477129648428994
"ACTB-1003","RPS6KA3",0.01,0.11361437523050828
"ACTB-1003","RPS6KA3",30,-0.7281571365489461
"ACTB-1003","RPS6KA3",3,-0.04464109274618127
"ACTB-1003","RPS6KA3",0.3,0.060927141857305155
"ACTB-1003","RPS6KA3",0.03,0.06366021645245888
"ACTB-1003","RPS6KA3",0.003,0.1965498661175344
"ACTB-1003","RPS6KA6",1,0.0605301751653331
"ACTB-1003","RPS6KA6",0.1,0.2756789368897138
"ACTB-1003","RPS6KA6",0.01,0.10191607318989108
"ACTB-1003","RPS6KA6",30,-1.347249586186838
"ACTB-1003","RPS6KA6",3,-0.20098263799792854
"ACTB-1003","RPS6KA6",0.3,0.05129736368293908
"ACTB-1003","RPS6KA6",0.03,0.27000146133646286
"ACTB-1003","RPS6KA6",0.003,0.4532630583361048
"ACTB-1003","TNK1",1,-0.7813512528551051
"ACTB-1003","TNK1",0.1,0.05511278754482657
"ACTB-1003","TNK1",0.01,-0.20020264580094144
"ACTB-1003","TNK1",30,-13.019319095130292
"ACTB-1003","TNK1",3,-0.6091243909553203
"ACTB-1003","TNK1",0.3,0.006423327759479651
